,rank,Company,Symbol,Weight,Price,Chg,% Chg
442,443,F5 Networks Inc.,FFIV,0.033983,144.51,0.74,(0.51%)
443,444,Interpublic Group of Companies Inc.,IPG,0.033703,21.72,-0.38,(-1.72%)
444,445,Juniper Networks Inc.,JNPR,0.033661,24.79,-0.14,(-0.55%)
445,446,Fortune Brands Home & Security Inc.,FBHS,0.033635,60.08,-0.79,(-1.30%)
446,447,TechnipFMC Plc,FTI,0.032772,19.85,0.12,(0.58%)
447,448,DISH Network Corporation Class A,DISH,0.032713,33.85,-0.52,(-1.51%)
448,449,Kohl's Corporation,KSS,0.032483,51.11,-0.52,(-1.00%)
449,450,Devon Energy Corporation,DVN,0.032368,20.14,-0.12,(-0.57%)
450,451,ABIOMED Inc.,ABMD,0.032264,210.6,28.83,(15.86%)
451,452,Apartment Investment and Management Company Class A,AIV,0.032116,54.45,-0.15,(-0.27%)
452,453,BorgWarner Inc.,BWA,0.031868,41.61,2.38,(6.05%)
453,454,Apache Corporation,APA,0.031578,21.79,0.43,(2.01%)
454,455,Franklin Resources Inc.,BEN,0.031311,27.65,-0.43,(-1.51%)
455,456,Cabot Oil & Gas Corporation,COG,0.030866,18.67,0.18,(0.97%)
456,457,Campbell Soup Company,CPB,0.030864,46.14,-0.13,(-0.28%)
457,458,Assurant Inc.,AIZ,0.030581,124.76,-1.11,(-0.88%)
458,459,Tapestry Inc.,TPR,0.029968,25.89,-0.37,(-1.39%)
459,460,Viacom Inc. Class B,VIAB,0.029583,21.39,0.16,(0.73%)
460,461,Newell Brands Inc,NWL,0.029372,18.98,-0.24,(-1.25%)
461,462,FLIR Systems Inc.,FLIR,0.029166,49.6,-5.42,(-9.84%)
462,463,Perrigo Co. Plc,PRGO,0.028894,53.06,-0.63,(-1.17%)
463,464,DXC Technology Co.,DXC,0.028686,27.28,-0.41,(-1.48%)
464,465,Nielsen Holdings Plc,NLSN,0.027989,20.15,-0.06,(-0.27%)
465,466,Mosaic Company,MOS,0.027808,19.76,-0.43,(-2.11%)
466,467,Pentair plc,PNR,0.027779,41.17,-0.62,(-1.48%)
467,468,A. O. Smith Corporation,AOS,0.027564,49.9,-0.49,(-0.96%)
468,469,SL Green Realty Corp.,SLG,0.02731,83.26,-0.53,(-0.63%)
469,470,Robert Half International Inc.,RHI,0.027018,57.21,-0.91,(-1.57%)
470,471,Leggett & Platt Incorporated,LEG,0.026522,50.99,-0.89,(-1.72%)
471,472,Albemarle Corporation,ALB,0.026439,61.04,-1.63,(-2.60%)
472,473,PVH Corp.,PVH,0.026355,87.06,-1.32,(-1.49%)
473,474,Sealed Air Corporation,SEE,0.026292,41.68,-0.92,(-2.16%)
474,475,People's United Financial Inc.,PBCT,0.025864,16.24,-0.35,(-2.11%)
475,476,Invesco Ltd.,IVZ,0.025716,16.75,-0.14,(-0.80%)
476,477,Xerox Holdings Corporation,XRX,0.025678,33.97,-0.15,(-0.44%)
477,478,Harley-Davidson Inc.,HOG,0.025176,39.14,-0.99,(-2.47%)
478,479,Flowserve Corporation,FLS,0.025038,49.08,-0.43,(-0.87%)
479,480,Quanta Services Inc.,PWR,0.024003,42.15,0.17,(0.40%)
480,481,Hanesbrands Inc.,HBI,0.02296,14.78,-1.25,(-7.80%)
481,482,Unum Group,UNM,0.022656,27.39,-0.07,(-0.25%)
482,483,DaVita Inc.,DVA,0.022587,58.44,-0.53,(-0.90%)
483,484,Rollins Inc.,ROL,0.021224,38.05,-0.07,(-0.18%)
484,485,News Corporation Class A,NWSA,0.020191,13.6,-0.04,(-0.26%)
485,486,Ralph Lauren Corporation Class A,RL,0.019929,96.15,-0.45,(-0.47%)
486,487,H&R Block Inc.,HRB,0.019882,24.95,-0.18,(-0.70%)
487,488,Fox Corporation Class B,FOX,0.019815,31.17,-0.19,(-0.61%)
488,489,Capri Holdings Limited,CPRI,0.019024,31.04,-0.62,(-1.94%)
489,490,IPG Photonics Corporation,IPGP,0.018689,133.48,-0.08,(-0.06%)
490,491,Macy's Inc,M,0.018403,14.99,-0.13,(-0.86%)
491,492,Cimarex Energy Co.,XEC,0.016893,41.55,-0.8,(-1.89%)
492,493,Discovery Inc. Class A,DISCA,0.016737,26.78,-0.14,(-0.50%)
493,494,Alliance Data Systems Corporation,ADS,0.016658,100.4,-2.39,(-2.33%)
494,495,Helmerich & Payne Inc.,HP,0.016588,37.85,-0.25,(-0.66%)
495,496,Affiliated Managers Group Inc.,AMG,0.016295,79.47,-1.26,(-1.56%)
496,497,TripAdvisor Inc.,TRIP,0.015996,40.02,-0.25,(-0.61%)
497,498,L Brands Inc.,LB,0.014952,16.87,0.01,(0.06%)
498,499,Under Armour Inc. Class A,UAA,0.01495,20.59,-0.22,(-1.06%)
499,500,Nordstrom Inc.,JWN,0.014634,35.55,0.34,(0.95%)
500,501,Gap Inc.,GPS,0.01437,16.53,-0.36,(-2.10%)
501,502,Under Armour Inc. Class C,UA,0.014252,18.42,-0.2,(-1.07%)
502,503,Coty Inc. Class A,COTY,0.013815,11.57,-0.07,(-0.56%)
503,504,Macerich Company,MAC,0.011393,27.23,-0.13,(-0.48%)
504,505,News Corporation Class B,NWS,0.006837,14.0,-0.02,(-0.14%)
