symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
ALNA,ALNA,"Allena Pharmaceuticals, Inc.",4.0,83260000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,ALNY,"Alnylam Pharmaceuticals, Inc.",82.98,8840000000.0,2004.0,Health Care,Major Pharmaceuticals
ALO,ALO,Alio Gold Inc.,0.87,73700000.0,2011.0,Basic Industries,Precious Metals
ALOT,ALOT,"AstroNova, Inc.",22.41,157050000.0,1983.0,Technology,Computer peripheral equipment
ALPN,ALPN,"Alpine Immune Sciences, Inc.",3.83,71130000.0,2015.0,Health Care,Major Pharmaceuticals
ALP^Q,ALP^Q,Alabama Power Company,26.1,,,,
ALRM,ALRM,"Alarm.com Holdings, Inc.",50.55,2440000000.0,2015.0,Technology,Computer Software: Prepackaged Software
ALRN,ALRN,"Aileron Therapeutics, Inc.",0.5197,13880000.0,2017.0,Health Care,Major Pharmaceuticals
ALSK,ALSK,"Alaska Communications Systems Group, Inc.",1.82,97890000.0,1999.0,Public Utilities,Telecommunications Equipment
ALSN,ALSN,"Allison Transmission Holdings, Inc.",44.22,5330000000.0,2012.0,Capital Goods,Auto Parts:O.E.M.
ALT,ALT,"Altimmune, Inc.",2.28,34970000.0,,Health Care,Major Pharmaceuticals
ALTM,ALTM,Altus Midstream Company,2.845,924420000.0,2017.0,Public Utilities,Natural Gas Distribution
ALTR,ALTR,Altair Engineering Inc.,41.98,2990000000.0,2017.0,Technology,Computer Software: Prepackaged Software
ALTY,ALTY,Global X SuperDividend Alternatives ETF,14.88,22320000.0,,,
ALV,ALV,"Autoliv, Inc.",69.68,6080000000.0,,Capital Goods,Auto Parts:O.E.M.
ALX,ALX,"Alexander&#39;s, Inc.",360.9,1840000000.0,,Consumer Services,Real Estate Investment Trusts
ALXN,ALXN,"Alexion Pharmaceuticals, Inc.",112.11,25140000000.0,1996.0,Health Care,Major Pharmaceuticals
ALYA,ALYA,Alithya Group inc.,2.88,139680000.0,,Technology,"Computer Software: Programming, Data Processing"
AM,AM,Antero Midstream Corporation,7.67,3890000000.0,2017.0,Public Utilities,Natural Gas Distribution
AMAG,AMAG,"AMAG Pharmaceuticals, Inc.",9.28,313360000.0,,Health Care,Major Pharmaceuticals
AMAL,AMAL,Amalgamated Bank,16.22,515340000.00000006,2018.0,Consumer Non-Durables,Textiles
AMAT,AMAT,"Applied Materials, Inc.",47.86,44800000000.0,1972.0,Technology,Semiconductors
AMBA,AMBA,"Ambarella, Inc.",46.78,1530000000.0,2012.0,Technology,Semiconductors
AMBC,AMBC,"Ambac Financial Group, Inc.",18.8,855790000.0,,Finance,Property-Casualty Insurers
AMBO,AMBO,Ambow Education Holding Ltd.,2.61,56490000.0,,Consumer Services,Other Consumer Services
AMC,AMC,"AMC Entertainment Holdings, Inc.",12.01,1250000000.0,2013.0,Consumer Services,Movies/Entertainment
AMCA,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,28.29,11320000.0,,,
AMCI,AMCI,AMCI Acquisition Corp.,9.98,275100000.0,2018.0,Finance,Business Services
AMCR,AMCR,Amcor plc,10.61,17230000000.0,2019.0,Consumer Durables,Miscellaneous manufacturing industries
AMCX,AMCX,AMC Networks Inc.,53.49,2980000000.0,,Consumer Services,Television Services
AMD,AMD,"Advanced Micro Devices, Inc.",33.92,36820000000.0,,Technology,Semiconductors
AME,AME,"AMTEK, Inc.",86.93,19850000000.0,,Consumer Durables,Metal Fabrications
AMED,AMED,Amedisys Inc,136.04,4380000000.0,,Health Care,Medical/Nursing Services
AMEH,AMEH,"Apollo Medical Holdings, Inc.",15.47,555370000.0,,Consumer Services,Professional Services
AMG,AMG,"Affiliated Managers Group, Inc.",81.12,4110000000.000001,,Finance,Investment Managers
AMGN,AMGN,Amgen Inc.,185.23,111080000000.0,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,AMH,American Homes 4 Rent,24.84,7460000000.0,2013.0,Consumer Services,Real Estate Investment Trusts
AMK,AMK,"AssetMark Financial Holdings, Inc.",26.68,1930000000.0,2019.0,Finance,Investment Managers
AMKR,AMKR,"Amkor Technology, Inc.",9.03,2160000000.0,1998.0,Technology,Semiconductors
AMN,AMN,AMN Healthcare Services Inc,56.67,2640000000.0,,Technology,Professional Services
AMNB,AMNB,"American National Bankshares, Inc.",35.85,399480000.0,,Finance,Major Banks
AMOT,AMOT,"Allied Motion Technologies, Inc.",36.0,345590000.0,,Capital Goods,Electrical Products
AMOV,AMOV,"America Movil, S.A.B. de C.V.",14.1,46540000000.0,,Public Utilities,Telecommunications Equipment
AMP,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",134.94,17660000000.0,,Finance,Investment Managers
AMPE,AMPE,"Ampio Pharmaceuticals, Inc.",0.3984,56460000.0,,Health Care,Major Pharmaceuticals
AMPH,AMPH,"Amphastar Pharmaceuticals, Inc.",21.09,992610000.0,2014.0,Health Care,Major Pharmaceuticals
AMPY,AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",5.78,118000000.0,2016.0,Energy,Oil & Gas Production
AMR,AMR,"Alta Mesa Resources, Inc.",0.1459,55570000.0,2017.0,Energy,Oil & Gas Production
AMRB,AMRB,American River Bankshares,12.77,75190000.0,,Finance,Major Banks
